recorder_config,benchmark,variant,seed,workload_scale,replay_status,negative_replay_status,event_match,final_signature_match,capsule_bytes,events,notes
minimal,sensor_threshold_bug,failing,1,smoke,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,1,smoke,PASS,REJECT,PASS,PASS,189,9,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,1,smoke,PASS,REJECT,PASS,PASS,189,9,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,1,smoke,PASS,REJECT,PASS,PASS,903,43,capture-all diagnostic mode
full,sensor_threshold_bug,failing,1,smoke,PASS,REJECT,PASS,PASS,903,43,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,2,smoke,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,2,smoke,PASS,REJECT,PASS,PASS,189,9,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,2,smoke,PASS,REJECT,PASS,PASS,189,9,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,2,smoke,PASS,REJECT,PASS,PASS,903,43,capture-all diagnostic mode
full,sensor_threshold_bug,failing,2,smoke,PASS,REJECT,PASS,PASS,903,43,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,3,smoke,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,3,smoke,PASS,REJECT,PASS,PASS,189,9,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,3,smoke,PASS,REJECT,PASS,PASS,189,9,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,3,smoke,PASS,REJECT,PASS,PASS,903,43,capture-all diagnostic mode
full,sensor_threshold_bug,failing,3,smoke,PASS,REJECT,PASS,PASS,903,43,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,4,smoke,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,4,smoke,PASS,REJECT,PASS,PASS,189,9,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,4,smoke,PASS,REJECT,PASS,PASS,189,9,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,4,smoke,PASS,REJECT,PASS,PASS,903,43,capture-all diagnostic mode
full,sensor_threshold_bug,failing,4,smoke,PASS,REJECT,PASS,PASS,903,43,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,5,smoke,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,5,smoke,PASS,REJECT,PASS,PASS,189,9,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,5,smoke,PASS,REJECT,PASS,PASS,189,9,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,5,smoke,PASS,REJECT,PASS,PASS,903,43,capture-all diagnostic mode
full,sensor_threshold_bug,failing,5,smoke,PASS,REJECT,PASS,PASS,903,43,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,1,short,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,1,short,PASS,REJECT,PASS,PASS,2856,136,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,1,short,PASS,REJECT,PASS,PASS,2856,136,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,1,short,PASS,REJECT,PASS,PASS,11718,558,capture-all diagnostic mode
full,sensor_threshold_bug,failing,1,short,PASS,REJECT,PASS,PASS,11718,558,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,2,short,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,2,short,PASS,REJECT,PASS,PASS,2856,136,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,failing,2,short,PASS,REJECT,PASS,PASS,2856,136,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,failing,2,short,PASS,REJECT,PASS,PASS,11718,558,capture-all diagnostic mode
full,sensor_threshold_bug,failing,2,short,PASS,REJECT,PASS,PASS,11718,558,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,failing,3,short,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,failing,3,short,PASS,REJECT,PASS,PASS,2856,136,ReplayCapsule-RV property-relevant capture mode
