module_family,rtl_sources,bmc_check,cover_check,depth,status,evidence,obligations,explicit_limit
event_tap,rtl/event_tap.sv,event_tap_bmc,event_tap_cover,2,PASS,results\raw\formal_event_tap_bmc.txt; results\raw\formal_event_tap_cover.txt,"priority ordering, event field routing, multievent-pending flag",local event-source harness; not a full CPU proof
event_classifier_slicer,rtl/event_classifier.sv; rtl/event_slicer.sv,event_classifier_slicer_bmc,event_classifier_slicer_cover,8,PASS,results\raw\formal_event_classifier_slicer_bmc.txt; results\raw\formal_event_classifier_slicer_cover.txt,"capture-policy classification, required-event retention, LAST_K context-window behavior",bounded policy proof; workload-scale event coverage comes from simulation rows
property_checker,rtl/property_checker.sv,property_checker_bmc,property_checker_cover,8,PASS,results\raw\formal_property_checker_bmc.txt; results\raw\formal_property_checker_cover.txt,"six failure-family IDs/signatures, reset/clear behavior, state exposure",synthetic checker stimuli with reduced deadline constants
hash_signature,rtl/hash_signature.sv,hash_signature_bmc,hash_signature_cover,4,PASS,results\raw\formal_hash_signature_bmc.txt; results\raw\formal_hash_signature_cover.txt,"reset seed, clear seed, no-event stability, exact rotate/XOR update",integrity accumulator behavior only; no cryptographic-strength claim
mmio_interrupt_loggers,rtl/mmio_logger.sv; rtl/interrupt_logger.sv,mmio_interrupt_loggers_bmc,mmio_interrupt_loggers_cover,6,PASS,results\raw\formal_mmio_interrupt_loggers_bmc.txt; results\raw\formal_mmio_interrupt_loggers_cover.txt,"MMIO read/write packet fields, interrupt enter/exit fields, depth tracking, unpaired-exit sticky flag",local logger interfaces; not a complete bus-protocol proof
registers,rtl/registers.sv,registers_bmc,registers_cover,6,PASS,results\raw\formal_registers_bmc.txt; results\raw\formal_registers_cover.txt,"address decode, readback muxing, reset defaults, global clear, control writes, one-cycle clear pulse",register-block contract only; no external bus timing proof
replay_control,rtl/replay_control.sv,replay_control_bmc,replay_control_cover,8,PASS,results\raw\formal_replay_control_bmc.txt; results\raw\formal_replay_control_cover.txt,"event consume/inject rules, time mismatch handling, non-injectable event handling, sticky underflow",local event packets; no firmware-running SoC replay proof
replay_mismatch_guards,rtl/replay_control.sv,replay_mismatch_bmc,replay_mismatch_cover,14,PASS,results\raw\formal_replay_mismatch_bmc.txt; results\raw\formal_replay_mismatch_cover.txt,"wrong-cycle rejection, wrong-commit rejection, wrong-kind rejection, early-EOF underflow, clear recovery, exact payload injection",deterministic mismatch microsequence; no full replay-stream comparator proof
capsule_buffer,rtl/capsule_buffer.sv,capsule_buffer_bmc,capsule_buffer_cover,12,PASS,results\raw\formal_capsule_buffer_bmc.txt; results\raw\formal_capsule_buffer_cover.txt,"count bounds, freeze immutability, frozen-count stability, sticky overflow, first-overflow behavior",small four-entry proof configuration
replay_capsule_top,rtl/replay_capsule_top.sv and local submodules,replay_capsule_top_bmc,replay_capsule_top_cover,16,PASS,results\raw\formal_replay_capsule_top_bmc.txt; results\raw\formal_replay_capsule_top_cover.txt,"top-level recorder count bounds, failure-to-freeze behavior, frozen-count stability, overflow reachability",bounded recorder harness; not an end-to-end processor/replay theorem
